QuestionID,Topic,Difficulty,Question,Options,Answer,Explanation
39,Algebra,Easy,"Solve the system: 2x+3y=4, 2x+2y=6","['(6,-2)', '(5,-1)', '(5,-2)', '(4,-3)']","(5,-2)","Solved x=5, y=-2"
40,Number Theory,Easy,Is 15 prime?,"['Yes', 'No']",No,15 is No
41,Probability,Hard,Prob of heart in 52 cards?,"['12/52', '13/52', '14/52', '26/52']",13/52,13 hearts
42,Algebra,Hard,Solve for x: 6x + 13 = 9,"[-0.7, -0.67, -0.69, -0.68]",-0.67,x = (9-13)/6 = -0.67
43,Percentages,Easy,"In an election with 2 candidates, the winner got 70% of votes and won by 2400 votes. Find total votes cast.","[5998, 5999, 6000, 5997]",6000,100% = 2400/(0.4) = 6000
44,Number Theory,Hard,"gcd(109,37)?","[-2, 0, 1, -1]",1,gcd=1
45,Algebra,Expert,"Solve the system: 5x+1y=-16, 5x+2y=-17","['(-2,-1)', '(-3,0)', '(-4,-2)', '(-3,-1)']","(-3,-1)","Solved x=-3, y=-1"
46,Geometry,Hard,Hypotenuse of right triangle with legs 9 cm and 14 cm?,"[9.15, 16.64, 14.14, 11.65]",16.64,c=sqrt(9^2+14^2)=16.64
47,Number Theory,Expert,"lcm(6,7)?","[41, 39, 40, 42]",42,LCM=42
48,Percentages,Hard,"If 50% of a number is 720, what is the number?","[576.0, 1440.0, 1152.0, 864.0]",1440,x = 720/(0.5) = 1440.0
49,Number Theory,Expert,Is 10 prime?,"['Yes', 'No']",No,10 is No
50,Percentages,Easy,"If 40% of a number is 140, what is the number?","[210.0, 140.0, 350.0, 280.0]",350,x = 140/(0.4) = 350.0
51,Probability,Medium,Two dice sum=7?,"['5/36', '6/36', '7/36', '8/36']",Jun-36,Pairs sum to 7
52,Geometry,Easy,Find area of circle radius 8 cm.,"[201.06, 150.8, 100.53, 50.26]",201.06,Area=pi*r^2=201.06
53,Number Theory,Medium,"gcd(61,65)?","[-1, 0, -2, 1]",1,gcd=1
54,Ratios,Hard,"Ratio 15:9, total=186. Find parts.","['118.25,67.75', '116.25,69.75', '113.25,72.75', '121.25,64.75']","116.25,69.75","Parts=116.25,69.75"
55,Probability,Easy,Prob of heart in 52 cards?,"['12/52', '13/52', '14/52', '26/52']",13/52,13 hearts
56,Algebra,Medium,Find the roots of x^2 + 3x + 2 = 0,"['(-2,-1)', '(0,-3)', '(-1, -2)', '(-2,-1)']","(-1, -2)",Roots are -1 and -2
57,Ratios,Medium,"Ratio 14:12, total=192. Find parts.","['105.38,86.62', '100.38,91.62', '108.38,83.62', '103.38,88.62']","103.38,88.62","Parts=103.38,88.62"
58,Ratios,Expert,"Ratio 19:12, total=64. Find parts.","['36.23,27.77', '41.23,22.77', '44.23,19.77', '39.23,24.77']","39.23,24.77","Parts=39.23,24.77"
59,Number Theory,Hard,"gcd(47,172)?","[-2, 0, -1, 1]",1,gcd=1
60,Probability,Easy,Prob of heart in 52 cards?,"['12/52', '13/52', '14/52', '26/52']",13/52,13 hearts
61,Number Theory,Medium,"lcm(6,27)?","[52, 53, 51, 54]",54,LCM=54
62,Geometry,Expert,Find area of triangle with base 25 cm and height 23 cm.,"[143.75, 71.88, 287.5, 215.62]",287.5,Area = 0.5*25*23 = 287.5
63,Ratios,Hard,"Ratio 18:11, total=391. Find parts.","['242.69,148.31', '239.69,151.31', '247.69,143.31', '244.69,146.31']","242.69,148.31","Parts=242.69,148.31"
64,Ratios,Hard,"Ratio 19:6, total=148. Find parts.","['112.48,35.52', '117.48,30.520000000000003', '109.48,38.52', '114.48,33.52']","112.48,35.52","Parts=112.48,35.52"
65,Ratios,Medium,"Ratio 20:11, total=257. Find parts.","['167.81,89.19', '162.81,94.19', '170.81,86.19', '165.81,91.19']","165.81,91.19","Parts=165.81,91.19"
66,Algebra,Expert,"Solve the system: 6x+8y=14, 8x+8y=24","['(6,-2)', '(5,-2)', '(5,-1)', '(4,-3)']","(5,-2)","Solved x=5, y=-2"
67,Ratios,Easy,"Ratio 11:18, total=389. Find parts.","['152.55,236.45', '149.55,239.45', '147.55,241.45', '144.55,244.45']","147.55,241.45","Parts=147.55,241.45"
68,Ratios,Hard,"Ratio 9:8, total=125. Find parts.","['71.18,53.82', '63.18000000000001,61.82', '68.18,56.82', '66.18,58.82']","66.18,58.82","Parts=66.18,58.82"
69,Probability,Easy,Prob of heart in 52 cards?,"['12/52', '13/52', '14/52', '26/52']",13/52,13 hearts
70,Probability,Medium,Urn has 7 red and 5 blue. Prob red?,"['7/14', '6/12', '7/12', '8/12']",07-Dec,"Favorable=7, Total=12"
71,Algebra,Easy,Solve for x: 8x + 8 = 12,"[0.25, 0.38, 0.12, 0.5]",0.5,x = (12-8)/8 = 0.5
72,Percentages,Expert,"If 30% of a number is 1750, what is the number?","[2333.33, 5833.33, 3500.0, 4666.66]",5833.33,x = 1750/(0.3) = 5833.33
73,Number Theory,Expert,"gcd(141,135)?","[3, 1, 0, 2]",3,gcd=3
74,Number Theory,Expert,Is 25 prime?,"['Yes', 'No']",No,25 is No
75,Geometry,Expert,Find area of triangle with base 22 cm and height 11 cm.,"[30.25, 121.0, 60.5, 90.75]",121,Area = 0.5*22*11 = 121.0
76,Number Theory,Easy,"gcd(58,79)?","[-1, -2, 0, 1]",1,gcd=1
77,Ratios,Medium,"Ratio 4:15, total=258. Find parts.","['54.32,203.68', '59.32,198.68', '56.32,201.68', '51.32,206.68']","54.32,203.68","Parts=54.32,203.68"
78,Probability,Easy,Two dice sum=7?,"['5/36', '6/36', '7/36', '8/36']",Jun-36,Pairs sum to 7
79,Probability,Easy,Urn has 5 red and 5 blue. Prob red?,"['6/10', '5/12', '5/10', '4/10']",05-Oct,"Favorable=5, Total=10"
80,Probability,Expert,Urn has 7 red and 7 blue. Prob red?,"['7/16', '6/14', '8/14', '7/14']",Jul-14,"Favorable=7, Total=14"
81,Geometry,Expert,Find circumference of circle radius 2 cm.,"[3.14, 6.29, 12.57, 9.43]",12.57,Circumference=2*pi*r=12.57
82,Ratios,Medium,"Ratio 16:6, total=368. Find parts.","['264.64,103.36', '269.64,98.36', '272.64,95.36', '267.64,100.36']","267.64,100.36","Parts=267.64,100.36"
83,Percentages,Expert,"If 30% of a number is 510, what is the number?","[1700.0, 1360.0, 1020.0, 680.0]",1700,x = 510/(0.3) = 1700.0
84,Geometry,Medium,Find circumference of circle radius 12 cm.,"[18.85, 56.55, 37.7, 75.4]",75.4,Circumference=2*pi*r=75.4
85,Geometry,Easy,Find area of circle radius 2 cm.,"[6.29, 12.57, 3.14, 9.43]",12.57,Area=pi*r^2=12.57
86,Ratios,Easy,"Ratio 2:9, total=152. Find parts.","['32.64,119.36', '29.64,122.36', '24.64,127.36', '27.64,124.36']","27.64,124.36","Parts=27.64,124.36"
87,Algebra,Medium,Find the roots of x^2 + 1x + -20 = 0,"['(4, -5)', '(5,-6)', '(3,-4)', '(-5,4)']","(4, -5)",Roots are 4 and -5
88,Geometry,Medium,Hypotenuse of right triangle with legs 6 cm and 9 cm?,"[7.57, 10.82, 5.95, 9.2]",10.82,c=sqrt(6^2+9^2)=10.82
89,Geometry,Expert,Find area of circle radius 24 cm.,"[904.78, 1809.56, 1357.17, 452.39]",1809.56,Area=pi*r^2=1809.56
90,Percentages,Hard,A cask of 40L full of wine has 5L drawn and replaced with water. This is done 3 times. How much wine remains (to 2 decimals)?,"[20.37, 22.51, 24.66, 26.8]",26.8,Wine remaining = 40 * (1 - 5/40)^3 = 26.8L
91,Percentages,Hard,What is 40% of 2750?,"[1100.0, 825.0, 550.0, 275.0]",1100,40% = 40/100. So 40/100 × 2750 = 1100.0
92,Ratios,Expert,"Ratio 6:15, total=140. Find parts.","['40.0,100.0', '45.0,95.0', '42.0,98.0', '37.0,103.0']","40.0,100.0","Parts=40.0,100.0"
93,Probability,Expert,Urn has 6 red and 4 blue. Prob red?,"['6/10', '7/10', '5/10', '6/12']",06-Oct,"Favorable=6, Total=10"
94,Geometry,Expert,Find area of triangle with base 33 cm and height 22 cm.,"[272.25, 90.75, 181.5, 363.0]",363,Area = 0.5*33*22 = 363.0
95,Probability,Hard,Two dice sum=7?,"['5/36', '6/36', '7/36', '8/36']",Jun-36,Pairs sum to 7
96,Algebra,Hard,Find the roots of x^2 + 3x + 2 = 0,"['(-2,-1)', '(-1, -2)', '(-2,-1)', '(0,-3)']","(-1, -2)",Roots are -1 and -2
97,Number Theory,Medium,"gcd(81,124)?","[-1, -2, 0, 1]",1,gcd=1
98,Ratios,Expert,"Ratio 17:16, total=455. Find parts.","['231.39,223.61', '239.39,215.61', '236.39,218.61', '234.39,220.61']","234.39,220.61","Parts=234.39,220.61"
99,Algebra,Expert,"Solve the system: 4x+5y=27, 6x+8y=42","['(3,3)', '(2,2)', '(4,3)', '(3,4)']","(3,3)","Solved x=3, y=3"
100,Geometry,Expert,Find circumference of circle radius 11 cm.,"[69.12, 51.84, 17.28, 34.56]",69.12,Circumference=2*pi*r=69.12
101,Geometry,Easy,Hypotenuse of right triangle with legs 20 cm and 9 cm?,"[18.64, 21.93, 12.06, 15.35]",21.93,c=sqrt(20^2+9^2)=21.93
102,Geometry,Hard,Find area of triangle with base 16 cm and height 13 cm.,"[78.0, 26.0, 104.0, 52.0]",104,Area = 0.5*16*13 = 104.0
103,Geometry,Easy,Hypotenuse of right triangle with legs 20 cm and 8 cm?,"[15.08, 21.54, 11.85, 18.31]",21.54,c=sqrt(20^2+8^2)=21.54
104,Number Theory,Hard,Is 18 prime?,"['Yes', 'No']",No,18 is No
105,Ratios,Expert,"Ratio 5:2, total=343. Find parts.","['245.0,98.0', '247.0,96.0', '250.0,93.0', '242.0,101.0']","245.0,98.0","Parts=245.0,98.0"
106,Probability,Hard,A die rolled once. Prob>4?,"['1/6', '2/6', '3/6', '4/6']",02-Jun,"Numbers>4 are 5,6"
107,Geometry,Expert,Find area of triangle with base 8 cm and height 16 cm.,"[32.0, 48.0, 16.0, 64.0]",64,Area = 0.5*8*16 = 64.0
108,Algebra,Medium,"Solve the system: 5x+2y=29, 4x+2y=26","['(4,7)', '(3,7)', '(3,8)', '(2,6)']","(3,7)","Solved x=3, y=7"
109,Number Theory,Expert,"lcm(19,14)?","[265, 263, 264, 266]",266,LCM=266
110,Number Theory,Easy,"gcd(180,74)?","[0, -1, 2, 1]",2,gcd=2
111,Algebra,Medium,Solve for x: 10x + 3 = 11,"[0.8, 0.6, 0.4, 0.2]",0.8,x = (11-3)/10 = 0.8
112,Ratios,Expert,"Ratio 11:3, total=168. Find parts.","['132.0,36.0', '137.0,31.0', '134.0,34.0', '129.0,39.0']","132.0,36.0","Parts=132.0,36.0"
113,Ratios,Expert,"Ratio 4:9, total=185. Find parts.","['53.92,131.08', '56.92,128.08', '58.92,126.08000000000001', '61.92,123.08000000000001']","56.92,128.08","Parts=56.92,128.08"
114,Number Theory,Medium,Is 19 prime?,"['Yes', 'No']",Yes,19 is Yes
115,Geometry,Medium,Find area of triangle with base 7 cm and height 9 cm.,"[7.88, 15.75, 31.5, 23.62]",31.5,Area = 0.5*7*9 = 31.5
116,Probability,Easy,Prob of heart in 52 cards?,"['12/52', '13/52', '14/52', '26/52']",13/52,13 hearts
117,Ratios,Hard,"Ratio 14:10, total=306. Find parts.","['175.5,130.5', '178.5,127.5', '183.5,122.5', '180.5,125.5']","178.5,127.5","Parts=178.5,127.5"
118,Number Theory,Easy,"lcm(28,15)?","[418, 420, 417, 419]",420,LCM=420
119,Algebra,Easy,"Solve the system: 5x+1y=20, 3x+8y=49","['(3,6)', '(3,5)', '(4,5)', '(2,4)']","(3,5)","Solved x=3, y=5"
120,Number Theory,Expert,Is 41 prime?,"['Yes', 'No']",Yes,41 is Yes
121,Percentages,Expert,A value changed by 20% then by -10%. What is the net change?,"['12.0% loss', '8.0% gain', '4.0% gain', '16.0% loss']",8.0% gain,Net change = 20 + -10 + (20*-10/100) = 8.0%
122,Geometry,Expert,Hypotenuse of right triangle with legs 4 cm and 18 cm?,"[18.44, 15.67, 12.91, 10.14]",18.44,c=sqrt(4^2+18^2)=18.44
123,Geometry,Easy,Find area of circle radius 18 cm.,"[763.41, 254.47, 508.94, 1017.88]",1017.88,Area=pi*r^2=1017.88
124,Algebra,Hard,"Solve the system: 8x+8y=16, 1x+4y=11","['(-1,3)', '(-1,4)', '(-2,2)', '(0,3)']","(-1,3)","Solved x=-1, y=3"
125,Ratios,Expert,"Ratio 5:2, total=372. Find parts.","['267.71,104.29', '265.71,106.29', '262.71,109.29', '270.71,101.29']","265.71,106.29","Parts=265.71,106.29"
126,Geometry,Easy,Hypotenuse of right triangle with legs 16 cm and 6 cm?,"[14.53, 17.09, 9.4, 11.96]",17.09,c=sqrt(16^2+6^2)=17.09
127,Percentages,Medium,"In an election with 2 candidates, the winner got 62% of votes and won by 2400 votes. Find total votes cast.","[9997, 10000, 9998, 9999]",10000,100% = 2400/(0.24) = 10000
128,Probability,Medium,Prob of heart in 52 cards?,"['12/52', '13/52', '14/52', '26/52']",13/52,13 hearts
129,Number Theory,Medium,"lcm(11,24)?","[263, 264, 261, 262]",264,LCM=264
130,Probability,Hard,Urn has 4 red and 8 blue. Prob red?,"['5/12', '4/14', '4/12', '3/12']",04-Dec,"Favorable=4, Total=12"
131,Number Theory,Expert,"gcd(134,157)?","[-2, 0, -1, 1]",1,gcd=1
132,Number Theory,Expert,"lcm(15,11)?","[162, 165, 164, 163]",165,LCM=165
133,Algebra,Expert,Solve for x: 7x + 16 = 46,"[3.22, 1.07, 2.15, 4.29]",4.29,x = (46-16)/7 = 4.29
134,Probability,Easy,Two dice sum=7?,"['5/36', '6/36', '7/36', '8/36']",Jun-36,Pairs sum to 7
135,Percentages,Expert,What is 40% of 3450?,"[690.0, 1380.0, 1035.0, 345.0]",1380,40% = 40/100. So 40/100 × 3450 = 1380.0
136,Probability,Medium,Two dice sum=7?,"['5/36', '6/36', '7/36', '8/36']",Jun-36,Pairs sum to 7
137,Geometry,Hard,Hypotenuse of right triangle with legs 15 cm and 24 cm?,"[28.3, 24.05, 19.81, 15.57]",28.3,c=sqrt(15^2+24^2)=28.3
138,Geometry,Expert,Hypotenuse of right triangle with legs 4 cm and 23 cm?,"[19.85, 16.35, 23.35, 12.84]",23.35,c=sqrt(4^2+23^2)=23.35
139,Algebra,Easy,Find the roots of x^2 + -1x + -30 = 0,"['(-4,5)', '(-6,7)', '(6,-5)', '(-5, 6)']","(-5, 6)",Roots are -5 and 6
140,Ratios,Hard,"Ratio 2:3, total=216. Find parts.","['88.4,127.6', '83.4,132.6', '91.4,124.6', '86.4,129.6']","86.4,129.6","Parts=86.4,129.6"
141,Geometry,Expert,Find area of triangle with base 19 cm and height 20 cm.,"[95.0, 47.5, 142.5, 190.0]",190,Area = 0.5*19*20 = 190.0
142,Algebra,Medium,Solve for x: 11x + 13 = 40,"[1.84, 0.61, 2.45, 1.23]",2.45,x = (40-13)/11 = 2.45
143,Algebra,Expert,"Solve the system: 5x+8y=51, 5x+1y=37","['(8,2)', '(7,2)', '(6,1)', '(7,3)']","(7,2)","Solved x=7, y=2"
144,Percentages,Expert,A value changed by 25% then by -12.5%. What is the net change?,"['9.38% gain', '5.38% loss', '17.38% loss', '9.38% loss']",9.38% gain,Net change = 25 + -12.5 + (25*-12.5/100) = 9.38%
145,Percentages,Medium,"In an election with 2 candidates, the winner got 70% of votes and won by 1500 votes. Find total votes cast.","[3747, 3748, 3750, 3749]",3750,100% = 1500/(0.4) = 3750
146,Percentages,Expert,A value changed by 10% then by 20%. What is the net change?,"['32.0% loss', '40.0% gain', '32.0% gain', '28.0% loss']",32.0% gain,Net change = 10 + 20 + (10*20/100) = 32.0%
147,Number Theory,Hard,Is 18 prime?,"['Yes', 'No']",No,18 is No
148,Ratios,Easy,"Ratio 3:11, total=453. Find parts.","['94.07,358.93', '102.07,350.93', '97.07,355.93', '99.07,353.93']","97.07,355.93","Parts=97.07,355.93"
149,Ratios,Medium,"Ratio 4:11, total=217. Find parts.","['62.87,154.13', '54.87,162.13', '57.87,159.13', '59.87,157.13']","57.87,159.13","Parts=57.87,159.13"
150,Algebra,Hard,"Solve the system: 5x+3y=32, 5x+8y=27","['(6,-2)', '(8,-1)', '(7,-1)', '(7,0)']","(7,-1)","Solved x=7, y=-1"
151,Percentages,Medium,"If 50% of a number is 1900, what is the number?","[1520.0, 2280.0, 3040.0, 3800.0]",3800,x = 1900/(0.5) = 3800.0
152,Percentages,Expert,What is 50% of 1750?,"[875.0, 656.25, 437.5, 218.75]",875,50% = 50/100. So 50/100 × 1750 = 875.0
153,Ratios,Hard,"Ratio 20:14, total=471. Find parts.","['282.06,188.94', '279.06,191.94', '277.06,193.94', '274.06,196.94']","277.06,193.94","Parts=277.06,193.94"
154,Probability,Easy,Urn has 6 red and 4 blue. Prob red?,"['7/10', '5/10', '6/12', '6/10']",06-Oct,"Favorable=6, Total=10"
155,Ratios,Expert,"Ratio 11:15, total=109. Find parts.","['48.12,60.88', '43.12,65.88', '46.12,62.88', '51.12,57.88']","46.12,62.88","Parts=46.12,62.88"
156,Geometry,Expert,Find area of triangle with base 10 cm and height 11 cm.,"[13.75, 41.25, 55.0, 27.5]",55,Area = 0.5*10*11 = 55.0
157,Geometry,Expert,Hypotenuse of right triangle with legs 7 cm and 17 cm?,"[18.38, 15.62, 12.87, 10.11]",18.38,c=sqrt(7^2+17^2)=18.38
158,Geometry,Easy,Hypotenuse of right triangle with legs 14 cm and 10 cm?,"[14.62, 9.46, 12.04, 17.2]",17.2,c=sqrt(14^2+10^2)=17.2
159,Geometry,Easy,Hypotenuse of right triangle with legs 14 cm and 21 cm?,"[25.24, 17.67, 13.88, 21.45]",25.24,c=sqrt(14^2+21^2)=25.24
160,Geometry,Medium,Find area of triangle with base 33 cm and height 6 cm.,"[99.0, 24.75, 74.25, 49.5]",99,Area = 0.5*33*6 = 99.0
161,Percentages,Hard,"If 20% of a number is 1490, what is the number?","[7450.0, 5960.0, 2980.0, 4470.0]",7450,x = 1490/(0.2) = 7450.0
162,Number Theory,Medium,"gcd(104,57)?","[0, 1, -1, -2]",1,gcd=1
163,Algebra,Hard,Solve for x: 3x + 1 = 9,"[2.0, 2.67, 1.33, 0.67]",2.67,x = (9-1)/3 = 2.67
164,Number Theory,Hard,"gcd(64,87)?","[0, -1, 1, -2]",1,gcd=1
165,Number Theory,Easy,Is 14 prime?,"['Yes', 'No']",No,14 is No
166,Probability,Expert,Prob of heart in 52 cards?,"['12/52', '13/52', '14/52', '26/52']",13/52,13 hearts
167,Number Theory,Easy,"lcm(21,12)?","[84, 82, 83, 81]",84,LCM=84
168,Probability,Easy,Two dice sum=7?,"['5/36', '6/36', '7/36', '8/36']",Jun-36,Pairs sum to 7
169,Probability,Expert,Urn has 2 red and 5 blue. Prob red?,"['2/7', '2/9', '1/7', '3/7']",02-Jul,"Favorable=2, Total=7"
170,Geometry,Medium,Find area of triangle with base 12 cm and height 12 cm.,"[18.0, 72.0, 36.0, 54.0]",72,Area = 0.5*12*12 = 72.0
171,Probability,Expert,A die rolled once. Prob>4?,"['1/6', '2/6', '3/6', '4/6']",02-Jun,"Numbers>4 are 5,6"
172,Ratios,Medium,"Ratio 15:16, total=166. Find parts.","['80.32,85.68', '77.32,88.68', '85.32,80.68', '82.32,83.68']","80.32,85.68","Parts=80.32,85.68"
173,Probability,Expert,Urn has 2 red and 4 blue. Prob red?,"['1/6', '2/8', '2/6', '3/6']",02-Jun,"Favorable=2, Total=6"
174,Geometry,Medium,Hypotenuse of right triangle with legs 18 cm and 6 cm?,"[13.28, 16.12, 18.97, 10.43]",18.97,c=sqrt(18^2+6^2)=18.97
175,Probability,Easy,Urn has 7 red and 4 blue. Prob red?,"['8/11', '6/11', '7/13', '7/11']",07-Nov,"Favorable=7, Total=11"
176,Number Theory,Hard,Is 17 prime?,"['Yes', 'No']",Yes,17 is Yes
177,Probability,Hard,Urn has 8 red and 5 blue. Prob red?,"['9/13', '8/15', '8/13', '7/13']",Aug-13,"Favorable=8, Total=13"
178,Geometry,Easy,Hypotenuse of right triangle with legs 19 cm and 10 cm?,"[11.81, 21.47, 18.25, 15.03]",21.47,c=sqrt(19^2+10^2)=21.47
179,Algebra,Easy,Find the roots of x^2 + -1x + -2 = 0,"['(3,-2)', '(1,0)', '(-1,2)', '(2, -1)']","(2, -1)",Roots are 2 and -1
180,Probability,Easy,Urn has 7 red and 8 blue. Prob red?,"['7/15', '8/15', '6/15', '7/17']",Jul-15,"Favorable=7, Total=15"
181,Geometry,Hard,Find area of circle radius 13 cm.,"[398.2, 530.93, 132.73, 265.46]",530.93,Area=pi*r^2=530.93
182,Percentages,Medium,What is 50% of 650?,"[81.25, 243.75, 325.0, 162.5]",325,50% = 50/100. So 50/100 × 650 = 325.0
183,Probability,Hard,Two dice sum=7?,"['5/36', '6/36', '7/36', '8/36']",Jun-36,Pairs sum to 7
184,Geometry,Hard,Hypotenuse of right triangle with legs 5 cm and 5 cm?,"[7.07, 6.01, 3.89, 4.95]",7.07,c=sqrt(5^2+5^2)=7.07
185,Ratios,Easy,"Ratio 10:16, total=388. Find parts.","['149.23,238.77', '146.23,241.77', '154.23,233.77', '151.23,236.77']","149.23,238.77","Parts=149.23,238.77"
186,Probability,Hard,A die rolled once. Prob>4?,"['1/6', '2/6', '3/6', '4/6']",02-Jun,"Numbers>4 are 5,6"
187,Geometry,Expert,Find area of triangle with base 22 cm and height 25 cm.,"[68.75, 137.5, 206.25, 275.0]",275,Area = 0.5*22*25 = 275.0
188,Percentages,Medium,"In an election with 2 candidates, the winner got 70% of votes and won by 900 votes. Find total votes cast.","[2249, 2248, 2250, 2247]",2250,100% = 900/(0.4) = 2250
189,Algebra,Medium,Find the roots of x^2 + 3x + 2 = 0,"['(-1,-2)', '(-1,-2)', '(-3,0)', '(-2, -1)']","(-2, -1)",Roots are -2 and -1
190,Ratios,Expert,"Ratio 7:6, total=244. Find parts.","['131.38,112.62', '133.38,110.62', '128.38,115.62', '136.38,107.62']","131.38,112.62","Parts=131.38,112.62"
191,Percentages,Expert,What is 5% of 2850?,"[106.88, 71.25, 35.62, 142.5]",142.5,5% = 5/100. So 5/100 × 2850 = 142.5
